"vehicle_age_group","claim_cases","total_premium","total_claim_amount","average_claim_amount","average_loss_ratio","fraud_rate","total_profit"
"6-10 years",254,315608.34,13697270,13697270,45.2509155536272,0.255905511811024,-13381661.66
"15+ years",234,298631.53,12862780,12862780,44.8378064531807,0.239316239316239,-12564148.47
"0-5 years",289,360029.87,14902180,14902180,43.6441997733978,0.245674740484429,-14542150.13
"11-15 years",223,282136.41,11299710,11299710,41.130648202908,0.246636771300448,-11017573.59
