"age_group","claim_cases","total_premium","total_claim_amount","average_claim_amount","average_loss_ratio","fraud_rate","total_profit"
"60+",27,32826.57,1693170,1693170,51.7578275904178,0.333333333333333,-1660343.43
"50-59",100,123430.81,5825930,5825930,49.1135191586238,0.29,-5702499.19
"Under 30",155,192406.35,8055130,8055130,43.3716931615195,0.258064516129032,-7862723.65
"40-49",318,405875.5,16841050,16841050,42.9974800187231,0.229559748427673,-16435174.5
"30-39",400,501866.92,20346660,20346660,42.6661579940823,0.24,-19844793.08
